------------------||App started||11.09.2020 00:09:23||-----------------||--------------New Terrain generation; Terrain size (X/Y/Z); 32/64/32; voxel scale; 1; chunk size; 8; voxel count; 65536;
|| Chunk[3,0,0]; terrain generation [ms]; 4; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,2]; Laplatian smoothing[ms]; 4388; voxel count; 5184 ;Chunk size; 8;vertices count; 455; triangles count; 784 ;
Elapsed seconds: 21024;  Terrain size (X/Y/Z); 32/64/32; voxel scale: 1
|| Chunk[0,0,1]; Laplatian smoothing[ms]; 4393; voxel count; 5184 ;Chunk size; 8;vertices count; 487; triangles count; 838 ;
Elapsed seconds: 21123;  Terrain size (X/Y/Z); 32/64/32; voxel scale: 1
|| Chunk[0,0,3]; Laplatian smoothing[ms]; 1480; voxel count; 5184 ;Chunk size; 8;vertices count; 495; triangles count; 887 ;
Elapsed seconds: 21230;  Terrain size (X/Y/Z); 32/64/32; voxel scale: 1
|| Chunk[3,0,0]; Laplatian smoothing[ms]; 1717; voxel count; 5184 ;Chunk size; 8;vertices count; 497; triangles count; 891 ;
Elapsed seconds: 21233;  Terrain size (X/Y/Z); 32/64/32; voxel scale: 1
|| Chunk[3,0,3]; Laplatian smoothing[ms]; 1459; voxel count; 5184 ;Chunk size; 8;vertices count; 582; triangles count; 1057 ;
Elapsed seconds: 21574;  Terrain size (X/Y/Z); 32/64/32; voxel scale: 1
|| Chunk[0,0,0]; Laplatian smoothing[ms]; 2065; voxel count; 5184 ;Chunk size; 8;vertices count; 680; triangles count; 1243 ;
Elapsed seconds: 28213;  Terrain size (X/Y/Z); 32/64/32; voxel scale: 1
||-----WHOLE Terrain generated;Elapsed seconds; 30450;  Terrain size (X/Y/Z); 32/64/32; Chunk size; 8; voxel scale: 1
